foil_name,AoA_eps,CL_eps,CD_eps,AoA_lift,CL_lift,CD_lift
NACA 63(4)-221,7.5,1.0357,0.00959,19.25,1.3158,0.09175
NACA 63(4)-421,7.25,1.1692,0.00982,18.5,1.4023,0.09052
NACA 63-412,4.25,0.8168,0.00706,14.75,1.4179,0.05104
NACA 64A-010,6,0.6692,0.01151,10,0.9479,0.03032
fx66s196,8.5,1.3757,0.01001,9.25,1.4022,0.01109
fx77w270s,11.25,1.6023,0.01575,15,1.8266,0.02568
fx83w160,4.25,0.9658,0.00736,18.75,1.5904,0.06879
fx84w097,4.75,0.7925,0.00641,13.5,1.3651,0.03702
fx84w127,5.25,0.9807,0.00688,16.25,1.4707,0.06072
fx84w150,6,1.1262,0.0077,18,1.487,0.08338
fx84w175,6.75,1.185,0.00877,19.25,1.4811,0.0961
fx84w218,6,0.9432,0.00932,18.75,1.4048,0.07546
n63212,6,0.7485,0.01722,9,0.9323,0.04305
naca1408,4,0.579,0.01308,8,0.8962,0.04622
naca1410,5,0.6834,0.01528,10,1.0252,0.05438
naca1412,6,0.7861,0.01776,11,1.1294,0.04802
naca23012,5,0.7214,0.02052,12,1.1499,0.05235
naca2410,6,0.8795,0.01696,11,1.1767,0.05902
naca63209,4,0.59,0.01354,20,0.8188,0.25271
naca64208,4,0.5416,0.01729,20,0.8346,0.25623
naca64a010,3,0.5435,0.01414,7,0.7266,0.04073
