name: NACA 2412
Re: 1.000000e+06
Ncrit: 9
AoA_eps: 5.000000
CL_eps: 0.809500
CD_eps: 7.750000e-03
AoA_lift: 16.000000
CL_lift: 1.529800
CD_lift: 4.408000e-02
 alpha	CL	CD	Cm
0.000000	1.000000	2.000000	3.000000
4.000000	5.000000	6.000000	7.000000
8.000000	9.000000	10.000000	11.000000
12.000000	13.000000	14.000000	15.000000
16.000000	17.000000	18.000000	19.000000
20.000000	0.237200	0.341600	0.450000
0.592100	0.714800	0.809500	0.902000
0.994600	1.087400	1.179600	1.267200
1.346400	1.408500	1.456800	1.489900
1.519600	1.529800	1.496900	1.470700
1.426300	1.374900	0.005650	0.005480
0.005780	0.006350	0.006930	0.007750
0.009050	0.010680	0.012340	0.013930
0.015660	0.017670	0.020010	0.023360
0.028370	0.034650	0.044080	0.060320
0.077520	0.098670	0.122280	-0.052000
-0.049800	-0.048200	-0.054700	-0.057400
-0.054000	-0.050500	-0.047400	-0.044500
-0.041600	-0.038100	-0.033500	-0.026400
-0.019000	-0.012500	-0.008500	-0.007100
-0.009600	-0.014700	-0.022600	-0.033100
