name: NACA 63(4)-221
Re: 1.000000e+06
Ncrit: 9
AoA_eps: 7.500000
CL_eps: 1.035700
CD_eps: 9.590000e-03
AoA_lift: 19.250000
CL_lift: 1.315800
CD_lift: 9.175000e-02
 alpha	CL	CD	Cm
-19.750000	-1.137300	0.086080	-0.039100
-19.500000	-1.136900	0.082950	-0.040200
-19.250000	-1.133200	0.080280	-0.041100
-19.000000	-1.129800	0.077590	-0.042000
-18.750000	-1.125100	0.075130	-0.042800
-18.500000	-1.125100	0.072080	-0.043700
-18.250000	-1.126800	0.068930	-0.044600
-18.000000	-1.126600	0.066020	-0.045300
-17.750000	-1.122300	0.063640	-0.045900
-17.500000	-1.118300	0.061200	-0.046500
-17.250000	-1.111800	0.059080	-0.047000
-17.000000	-1.105800	0.056920	-0.047400
-16.750000	-1.097000	0.055080	-0.047800
-16.500000	-1.094200	0.052640	-0.048200
-16.250000	-1.093000	0.050070	-0.048500
-16.000000	-1.088900	0.047830	-0.048900
-15.750000	-1.082600	0.045860	-0.049100
-15.500000	-1.074800	0.044020	-0.049200
-15.250000	-1.066200	0.042300	-0.049400
-15.000000	-1.057000	0.040650	-0.049500
-14.750000	-1.047000	0.039100	-0.049500
-14.500000	-1.043500	0.037000	-0.049500
-14.250000	-1.010000	0.034770	-0.055200
-14.000000	-0.971800	0.032960	-0.061200
-13.750000	-0.963300	0.031810	-0.060300
-13.500000	-0.954400	0.030660	-0.059500
-13.250000	-0.951000	0.029120	-0.058500
-13.000000	-0.944600	0.027810	-0.057600
-12.750000	-0.936300	0.026630	-0.056700
-12.500000	-0.926700	0.025550	-0.055800
-12.250000	-0.920000	0.024290	-0.054800
-12.000000	-0.912200	0.023150	-0.053700
-11.750000	-0.902900	0.022090	-0.052600
-11.500000	-0.896400	0.020940	-0.051300
-11.250000	-0.887500	0.019900	-0.050100
-11.000000	-0.879600	0.018880	-0.048700
-10.750000	-0.872800	0.017860	-0.047100
-10.500000	-0.865400	0.016860	-0.045400
-10.250000	-0.856400	0.016020	-0.043800
-10.000000	-0.850100	0.015150	-0.041700
-9.750000	-0.844000	0.014320	-0.039400
-9.500000	-0.841500	0.013610	-0.036200
-9.250000	-0.834400	0.013130	-0.033500
-9.000000	-0.818900	0.012630	-0.032000
-8.750000	-0.801500	0.012160	-0.030800
-8.500000	-0.783100	0.011690	-0.029800
-8.250000	-0.763700	0.011200	-0.028900
-8.000000	-0.743800	0.010650	-0.028100
-7.750000	-0.722100	0.010170	-0.027500
-7.500000	-0.699500	0.009720	-0.027100
-7.250000	-0.675600	0.009290	-0.026900
-7.000000	-0.650300	0.008930	-0.026800
-6.750000	-0.624300	0.008610	-0.026800
-6.500000	-0.597200	0.008420	-0.026900
-6.250000	-0.569000	0.008260	-0.027100
-6.000000	-0.540000	0.008150	-0.027400
-5.750000	-0.511300	0.008040	-0.027700
-5.500000	-0.482600	0.007960	-0.028000
-5.250000	-0.453000	0.007930	-0.028400
-5.000000	-0.423800	0.007820	-0.028700
-4.750000	-0.394100	0.007780	-0.029100
-4.500000	-0.364600	0.007760	-0.029500
-4.250000	-0.335300	0.007710	-0.029900
-4.000000	-0.305300	0.007670	-0.030300
-3.750000	-0.275200	0.007670	-0.030800
-3.500000	-0.245800	0.007610	-0.031100
-3.250000	-0.216300	0.007610	-0.031500
-3.000000	-0.186000	0.007610	-0.032000
-2.750000	-0.156000	0.007570	-0.032500
-2.500000	-0.126300	0.007530	-0.032900
-2.250000	-0.096600	0.007530	-0.033300
-2.000000	-0.066700	0.007540	-0.033700
-1.750000	-0.036400	0.007540	-0.034200
-1.500000	-0.006400	0.007500	-0.034600
-1.250000	0.023300	0.007490	-0.035100
-1.000000	0.052900	0.007520	-0.035500
-0.750000	0.083000	0.007540	-0.035900
-0.500000	0.113400	0.007550	-0.036400
-0.250000	0.143100	0.007510	-0.036800
0.000000	0.172800	0.007520	-0.037300
0.250000	0.202400	0.007570	-0.037600
0.500000	0.232500	0.007590	-0.038100
0.750000	0.262700	0.007600	-0.038600
1.000000	0.292400	0.007580	-0.039000
1.250000	0.322000	0.007610	-0.039400
1.500000	0.351300	0.007700	-0.039800
1.750000	0.381500	0.007710	-0.040300
2.000000	0.411500	0.007720	-0.040700
2.250000	0.441000	0.007730	-0.041100
2.500000	0.470300	0.007790	-0.041400
2.750000	0.499600	0.007870	-0.041800
3.000000	0.529600	0.007900	-0.042300
3.250000	0.559200	0.007900	-0.042700
3.500000	0.588400	0.007950	-0.043000
3.750000	0.617300	0.008040	-0.043300
4.000000	0.646600	0.008100	-0.043700
4.250000	0.676200	0.008130	-0.044000
4.500000	0.704800	0.008180	-0.044300
4.750000	0.733100	0.008290	-0.044500
5.000000	0.762600	0.008320	-0.044900
5.250000	0.791600	0.008410	-0.045200
5.500000	0.819400	0.008490	-0.045300
5.750000	0.848000	0.008560	-0.045600
6.000000	0.876500	0.008640	-0.045800
6.250000	0.903500	0.008810	-0.045800
6.500000	0.931700	0.008870	-0.046000
6.750000	0.958000	0.009030	-0.045900
7.000000	0.984300	0.009210	-0.045800
7.250000	1.010700	0.009390	-0.045700
7.500000	1.035700	0.009590	-0.045400
7.750000	1.059400	0.009860	-0.045000
8.000000	1.081300	0.010210	-0.044200
8.250000	1.100500	0.010660	-0.043100
8.500000	1.116700	0.011160	-0.041500
8.750000	1.131100	0.011700	-0.039600
9.000000	1.138400	0.012330	-0.036500
9.250000	1.142400	0.012920	-0.032900
9.500000	1.143700	0.013720	-0.029300
9.750000	1.146200	0.014630	-0.026200
10.000000	1.149800	0.015600	-0.023500
10.250000	1.155100	0.016570	-0.021200
10.500000	1.159200	0.017700	-0.018900
10.750000	1.165500	0.018780	-0.017100
11.000000	1.172000	0.019900	-0.015400
11.250000	1.176700	0.021190	-0.013700
11.500000	1.180500	0.022580	-0.012000
11.750000	1.184000	0.024040	-0.010400
12.000000	1.189600	0.025440	-0.009100
12.250000	1.192600	0.027020	-0.007700
12.500000	1.195600	0.028680	-0.006500
12.750000	1.198500	0.030370	-0.005300
13.000000	1.202200	0.032070	-0.004300
13.250000	1.206100	0.033810	-0.003400
13.500000	1.209000	0.035640	-0.002500
13.750000	1.212500	0.037380	-0.001500
14.000000	1.214400	0.039120	-0.000300
14.250000	1.228500	0.041130	-0.002000
14.500000	1.233300	0.043210	-0.001800
14.750000	1.240000	0.045170	-0.001700
15.000000	1.246900	0.047150	-0.001700
15.250000	1.251300	0.049410	-0.001800
15.500000	1.256000	0.051670	-0.001800
15.750000	1.263300	0.053720	-0.002000
16.000000	1.269500	0.055900	-0.002200
16.250000	1.274100	0.058310	-0.002600
16.500000	1.277600	0.060860	-0.002900
16.750000	1.279300	0.063660	-0.003400
17.000000	1.286800	0.065850	-0.003800
17.250000	1.292100	0.068340	-0.004400
17.500000	1.297600	0.070810	-0.005000
17.750000	1.300200	0.073690	-0.005700
18.000000	1.303200	0.076520	-0.006500
18.250000	1.302400	0.079940	-0.007500
18.500000	1.304700	0.082970	-0.008400
18.750000	1.308400	0.085880	-0.009400
19.000000	1.313000	0.088660	-0.010300
19.250000	1.315800	0.091750	-0.011500
