name: NACA 63-209
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 5.000000
CL_eps: 0.714600
CD_eps: 8.540000e-03
AoA_lift: 8.500000
CL_lift: 1.041200
CD_lift: 1.708000e-02
 alpha	CL	CD	Cm
-4.500000	-0.332500	0.006980	-0.035700
-4.000000	-0.276500	0.006690	-0.036100
-3.500000	-0.220500	0.006440	-0.036500
-3.000000	-0.164400	0.006250	-0.036900
-2.500000	-0.108000	0.006070	-0.037200
-2.000000	-0.052600	0.006140	-0.037500
-1.500000	0.003200	0.006210	-0.037800
-1.000000	0.058300	0.006490	-0.038200
-0.500000	0.112800	0.006720	-0.038700
0.500000	0.220600	0.007430	-0.039800
1.000000	0.276500	0.007100	-0.040600
1.500000	0.332300	0.006960	-0.041100
2.000000	0.388000	0.006930	-0.041600
2.500000	0.443700	0.007080	-0.041900
3.000000	0.498800	0.007140	-0.042100
3.500000	0.553500	0.007330	-0.042200
4.000000	0.607900	0.007730	-0.042100
4.500000	0.661500	0.008090	-0.042000
5.000000	0.714600	0.008540	-0.041900
8.500000	1.041200	0.017080	-0.033400
