name: NACA 64A-010
Re: 1.000000e+06
Ncrit: 9
AoA_eps: 6.000000
CL_eps: 0.669200
CD_eps: 1.151000e-02
AoA_lift: 10.000000
CL_lift: 0.947900
CD_lift: 3.032000e-02
 alpha	CL	CD	Cm
-11.500000	-0.771500	0.065520	-0.031700
-11.250000	-0.798500	0.058360	-0.036200
-11.000000	-0.831700	0.051900	-0.037800
-10.750000	-0.865200	0.046470	-0.036000
-10.500000	-0.907400	0.040920	-0.030000
-10.250000	-0.936600	0.034850	-0.024600
-10.000000	-0.947000	0.030470	-0.020500
-9.750000	-0.946100	0.027260	-0.017200
-9.500000	-0.934500	0.025600	-0.015100
-9.250000	-0.919600	0.024400	-0.013300
-9.000000	-0.899800	0.024180	-0.012100
-8.750000	-0.895300	0.020420	-0.008800
-8.500000	-0.882000	0.018480	-0.006600
-8.250000	-0.863900	0.017620	-0.005100
-8.000000	-0.844700	0.017000	-0.003700
-7.750000	-0.826000	0.016270	-0.002200
-7.500000	-0.807000	0.015650	-0.000700
-7.250000	-0.789100	0.014890	0.001100
-7.000000	-0.770700	0.014300	0.002800
-6.750000	-0.752300	0.013810	0.004500
-6.500000	-0.732200	0.013540	0.005900
-6.250000	-0.701700	0.012290	0.004800
-6.000000	-0.669300	0.011490	0.003300
-5.750000	-0.636700	0.011060	0.002000
-5.500000	-0.603600	0.010620	0.000600
-5.250000	-0.568800	0.010250	-0.001100
-5.000000	-0.537900	0.009810	-0.002000
-4.750000	-0.504600	0.009290	-0.003400
-4.500000	-0.471900	0.009000	-0.004600
-4.250000	-0.437800	0.008620	-0.006100
-4.000000	-0.405900	0.008310	-0.007200
-3.750000	-0.375200	0.007930	-0.008000
-3.500000	-0.348400	0.007420	-0.008000
-3.250000	-0.326100	0.006750	-0.007200
-3.000000	-0.307400	0.005910	-0.005800
-2.750000	-0.286100	0.005440	-0.004600
-2.500000	-0.261800	0.005260	-0.003900
-2.250000	-0.236300	0.005160	-0.003400
-2.000000	-0.210400	0.005090	-0.002900
-1.750000	-0.184800	0.005010	-0.002400
-1.500000	-0.159000	0.004950	-0.001900
-1.250000	-0.133500	0.004900	-0.001400
-1.000000	-0.107100	0.004880	-0.001100
-0.750000	-0.080500	0.004860	-0.000800
-0.500000	-0.053800	0.004850	-0.000500
-0.250000	-0.027100	0.004840	-0.000200
0.000000	0.000000	0.004830	0.000000
0.250000	0.027200	0.004840	0.000200
0.500000	0.053900	0.004850	0.000400
0.750000	0.080500	0.004860	0.000700
1.000000	0.107100	0.004880	0.001000
1.250000	0.133500	0.004900	0.001400
1.500000	0.159100	0.004950	0.001900
1.750000	0.184800	0.005010	0.002400
2.000000	0.210400	0.005090	0.002900
2.250000	0.236300	0.005160	0.003400
2.500000	0.261800	0.005250	0.003900
2.750000	0.286000	0.005450	0.004600
3.000000	0.307300	0.005930	0.005800
3.250000	0.326100	0.006750	0.007200
3.500000	0.348400	0.007410	0.008000
3.750000	0.375100	0.007930	0.008000
4.000000	0.405800	0.008310	0.007200
4.250000	0.437800	0.008620	0.006100
4.500000	0.471900	0.009000	0.004600
4.750000	0.504600	0.009290	0.003400
5.000000	0.537600	0.009860	0.002000
5.250000	0.568900	0.010220	0.001100
5.500000	0.603600	0.010610	-0.000600
5.750000	0.636800	0.011040	-0.002000
6.000000	0.669200	0.011510	-0.003300
6.250000	0.701500	0.012320	-0.004700
6.500000	0.732300	0.013500	-0.005900
6.750000	0.752700	0.013780	-0.004600
7.000000	0.770400	0.014360	-0.002700
7.250000	0.788900	0.014930	-0.001000
7.500000	0.807000	0.015660	0.000700
7.750000	0.825700	0.016350	0.002300
8.000000	0.844300	0.017120	0.003800
8.250000	0.863200	0.017810	0.005200
8.500000	0.881800	0.018540	0.006600
8.750000	0.896400	0.020180	0.008600
9.000000	0.899900	0.024150	0.012000
9.250000	0.918600	0.024580	0.013400
9.500000	0.934400	0.025600	0.015100
9.750000	0.944900	0.027460	0.017300
10.000000	0.947900	0.030320	0.020400
10.250000	0.937700	0.034700	0.024500
10.500000	0.909600	0.040680	0.029800
10.750000	0.861400	0.046990	0.036200
11.000000	0.830300	0.052140	0.037700
11.250000	0.803100	0.057650	0.036300
11.500000	0.769100	0.066160	0.031200
