name: NACA-65(4)421
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 3.500000
CL_eps: 0.763600
CD_eps: 5.650000e-03
AoA_lift: 21.500000
CL_lift: 1.195300
CD_lift: 8.911000e-02
 alpha	CL	CD	Cm
-5.000000	-0.214200	0.008650	-0.068300
-4.500000	-0.167500	0.007900	-0.067800
-4.000000	-0.117000	0.007060	-0.068100
-3.500000	-0.064200	0.005970	-0.069100
-3.000000	-0.006900	0.005120	-0.070700
-2.500000	0.054200	0.005070	-0.072200
-2.000000	0.114900	0.004910	-0.073800
-1.500000	0.175900	0.004970	-0.075300
-1.000000	0.236400	0.005000	-0.076700
-0.500000	0.296200	0.005030	-0.078000
0.000000	0.355700	0.005070	-0.079300
0.500000	0.414900	0.005120	-0.080500
1.000000	0.474200	0.005180	-0.081800
1.500000	0.533400	0.005250	-0.083000
2.000000	0.594000	0.005230	-0.084500
2.500000	0.654200	0.005240	-0.085900
3.000000	0.713500	0.005290	-0.087100
3.500000	0.763600	0.005650	-0.086600
4.000000	0.812500	0.006020	-0.085900
4.500000	0.847300	0.006700	-0.082500
5.500000	0.842700	0.008210	-0.061100
6.000000	0.824200	0.009470	-0.048500
6.500000	0.819900	0.010700	-0.039200
7.000000	0.809300	0.012300	-0.029600
7.500000	0.804900	0.013930	-0.021500
8.000000	0.800200	0.015880	-0.014000
8.500000	0.795500	0.018150	-0.007200
9.000000	0.803000	0.020060	-0.002100
9.500000	0.809700	0.022260	0.002400
10.000000	0.834100	0.023620	0.005000
10.500000	0.864000	0.024770	0.006900
11.000000	0.892100	0.026040	0.008800
11.500000	0.898800	0.028610	0.012300
12.000000	0.926200	0.030060	0.014000
12.500000	0.952000	0.031590	0.015700
13.000000	0.968600	0.033720	0.018100
15.000000	1.041700	0.042800	0.024900
15.500000	1.061600	0.044920	0.026300
16.000000	1.054700	0.049350	0.028500
16.500000	1.076600	0.051240	0.029600
17.000000	1.100000	0.053460	0.030000
17.500000	1.120600	0.056010	0.030400
18.000000	1.135400	0.059270	0.030700
18.500000	1.128400	0.064920	0.030800
19.000000	1.148700	0.067720	0.030700
19.500000	1.167500	0.070720	0.030400
20.000000	1.181400	0.074380	0.029800
20.500000	1.168800	0.081260	0.028400
21.000000	1.183400	0.084970	0.027400
21.500000	1.195300	0.089110	0.026200
22.500000	1.187700	0.102030	0.021500
23.000000	1.192200	0.107360	0.019300
23.500000	1.172300	0.116430	0.015100
24.000000	1.177000	0.121640	0.012400
24.500000	1.149600	0.132000	0.007000
25.000000	1.152700	0.137440	0.003900
26.000000	1.118200	0.154780	-0.005900
26.500000	1.120000	0.160160	-0.009300
27.000000	1.069200	0.174340	-0.017300
27.500000	1.072000	0.179260	-0.020600
28.000000	1.070800	0.184730	-0.024200
28.500000	1.002200	0.201290	-0.033400
29.000000	1.004800	0.205050	-0.036500
29.500000	1.005700	0.209100	-0.039700
30.000000	0.976300	0.218620	-0.045100
30.500000	0.963600	0.225550	-0.049200
33.500000	0.806100	0.296440	-0.073500
34.000000	0.812800	0.299780	-0.076300
34.500000	0.814500	0.304910	-0.078900
