name: NREL_s S809
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 4.000000
CL_eps: 0.644400
CD_eps: 5.580000e-03
AoA_lift: 21.000000
CL_lift: 1.480900
CD_lift: 9.322000e-02
 alpha	CL	CD	Cm
-5.000000	-0.409200	0.010070	-0.032800
-4.500000	-0.379900	0.005710	-0.033100
-4.000000	-0.320400	0.005510	-0.034600
-3.500000	-0.259300	0.005670	-0.036100
-3.000000	-0.198300	0.005830	-0.037600
-2.500000	-0.137800	0.005840	-0.039100
-2.000000	-0.077600	0.005840	-0.040500
-1.500000	-0.017500	0.005850	-0.042000
-1.000000	0.042500	0.005870	-0.043400
-0.500000	0.102500	0.005880	-0.044800
0.500000	0.222600	0.005920	-0.047600
1.000000	0.282600	0.005950	-0.049000
1.500000	0.342500	0.005930	-0.050400
2.000000	0.402000	0.005980	-0.051700
2.500000	0.461700	0.006010	-0.053100
3.000000	0.522800	0.005810	-0.054600
3.500000	0.583700	0.005680	-0.056100
4.000000	0.644400	0.005580	-0.057600
4.500000	0.694900	0.006220	-0.057400
5.500000	0.782700	0.008490	-0.054900
6.000000	0.825700	0.009480	-0.053400
6.500000	0.870300	0.010280	-0.052200
7.000000	0.915800	0.010950	-0.051200
7.500000	0.958600	0.011670	-0.049600
8.000000	0.998200	0.012430	-0.047600
8.500000	1.035800	0.013010	-0.045000
9.000000	1.066400	0.013770	-0.041400
9.500000	1.098600	0.014610	-0.038400
10.000000	1.129400	0.015590	-0.035500
10.500000	1.158100	0.016760	-0.032800
11.000000	1.183700	0.018260	-0.030300
11.500000	1.208300	0.020120	-0.028300
12.000000	1.231700	0.022320	-0.026700
12.500000	1.253000	0.024780	-0.025300
13.000000	1.274700	0.027210	-0.024000
13.500000	1.290500	0.030310	-0.022800
14.000000	1.309700	0.033030	-0.021700
14.500000	1.317700	0.036940	-0.020700
15.000000	1.335400	0.039870	-0.019800
15.500000	1.336300	0.044750	-0.019300
16.000000	1.354800	0.048110	-0.019000
17.000000	1.399500	0.054160	-0.018900
17.500000	1.418300	0.057700	-0.019200
18.000000	1.416500	0.063900	-0.020100
18.500000	1.437800	0.067250	-0.020700
19.000000	1.457900	0.070540	-0.021300
19.500000	1.474400	0.074390	-0.022100
20.000000	1.469600	0.081580	-0.024200
20.500000	1.478600	0.086880	-0.025800
21.000000	1.480900	0.093220	-0.028100
21.500000	1.469500	0.101890	-0.031700
22.000000	1.452200	0.111570	-0.036400
22.500000	1.448300	0.119060	-0.040400
23.000000	1.398800	0.134020	-0.049100
23.500000	1.375200	0.143940	-0.056600
24.000000	1.345200	0.156330	-0.065300
24.500000	1.308900	0.171380	-0.075500
25.000000	1.264700	0.189910	-0.087300
26.000000	1.113900	0.254670	-0.120900
