name: WORTMANN FX 05-191
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 3.500000
CL_eps: 0.898900
CD_eps: 5.620000e-03
AoA_lift: 21.500000
CL_lift: 1.640200
CD_lift: 1.002800e-01
 alpha	CL	CD	Cm
-5.000000	-0.067100	0.007660	-0.109400
-4.500000	-0.009500	0.007590	-0.110400
-4.000000	0.045700	0.007320	-0.111100
-3.500000	0.100600	0.006940	-0.111900
-3.000000	0.157600	0.006740	-0.112900
-2.000000	0.261000	0.005860	-0.113500
-1.500000	0.317200	0.005040	-0.115500
-1.000000	0.379100	0.004870	-0.117600
-0.500000	0.439400	0.004840	-0.119200
0.000000	0.503800	0.004560	-0.122100
0.500000	0.559800	0.004730	-0.122700
1.000000	0.617500	0.004840	-0.123800
1.500000	0.677700	0.004870	-0.125300
2.000000	0.736000	0.004960	-0.126500
2.500000	0.786100	0.005340	-0.125900
3.000000	0.841000	0.005540	-0.126400
3.500000	0.898900	0.005620	-0.127500
4.000000	0.919900	0.006950	-0.121400
4.500000	0.887100	0.009600	-0.105200
5.000000	0.898900	0.011110	-0.098200
5.500000	0.935500	0.011820	-0.095700
6.000000	0.974900	0.012490	-0.093900
6.500000	1.005600	0.013520	-0.090800
7.000000	1.043400	0.014340	-0.088900
7.500000	1.078200	0.015310	-0.086700
8.000000	1.111300	0.016380	-0.084400
8.500000	1.134700	0.017920	-0.080900
9.000000	1.154700	0.019690	-0.077300
9.500000	1.210500	0.019720	-0.078200
10.000000	1.246500	0.020860	-0.076700
10.500000	1.278800	0.022360	-0.075000
11.000000	1.309700	0.024000	-0.073200
11.500000	1.342400	0.025550	-0.071800
12.000000	1.351300	0.028800	-0.068300
12.500000	1.383700	0.030500	-0.067100
13.000000	1.415700	0.032230	-0.066000
13.500000	1.446200	0.034050	-0.064900
14.000000	1.472700	0.036010	-0.063500
14.500000	1.476600	0.040320	-0.061200
15.000000	1.503200	0.042760	-0.060300
15.500000	1.529900	0.045270	-0.059500
16.000000	1.552200	0.048280	-0.058700
16.500000	1.550700	0.054330	-0.057700
17.000000	1.573400	0.057530	-0.057300
17.500000	1.594600	0.060880	-0.056900
18.000000	1.607700	0.065220	-0.056700
18.500000	1.597500	0.072770	-0.057200
19.000000	1.615500	0.076370	-0.057400
19.500000	1.629800	0.080330	-0.057800
20.000000	1.604100	0.089700	-0.060000
20.500000	1.619400	0.092690	-0.060900
21.000000	1.632900	0.095880	-0.062000
21.500000	1.640200	0.100280	-0.063600
22.000000	1.610100	0.110420	-0.068100
22.500000	1.619900	0.114910	-0.070100
23.000000	1.625200	0.120320	-0.072700
23.500000	1.588800	0.133370	-0.079400
24.000000	1.589200	0.140220	-0.082900
24.500000	1.546000	0.156590	-0.091600
25.000000	1.532500	0.167270	-0.097000
25.500000	1.466900	0.191790	-0.109400
