name: WORTMANN FX 77-W-258
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 5.500000
CL_eps: 1.050500
CD_eps: 1.622000e-02
AoA_lift: 32.500000
CL_lift: 1.450200
CD_lift: 3.200500e-01
 alpha	CL	CD	Cm
-3.500000	-0.028200	0.010480	-0.039100
-3.000000	0.035900	0.010240	-0.040800
-2.000000	0.160100	0.010830	-0.043900
-1.500000	0.224400	0.010610	-0.045800
-1.000000	0.286400	0.010880	-0.047400
-0.500000	0.349200	0.011000	-0.049200
0.000000	0.409900	0.011490	-0.050700
0.500000	0.468100	0.012300	-0.052000
1.500000	0.589600	0.012950	-0.055000
2.000000	0.650700	0.013170	-0.056500
2.500000	0.710000	0.013570	-0.057900
3.000000	0.768700	0.013990	-0.059200
3.500000	0.827900	0.014300	-0.060500
4.000000	0.886400	0.014620	-0.061800
4.500000	0.940800	0.015270	-0.062600
5.000000	0.996300	0.015720	-0.063500
5.500000	1.050500	0.016220	-0.064300
6.000000	1.097700	0.017090	-0.064200
6.500000	1.145500	0.017790	-0.064200
7.000000	1.186000	0.018710	-0.063300
7.500000	1.200600	0.020320	-0.059300
8.000000	1.208000	0.024850	-0.059700
8.500000	1.211500	0.031290	-0.062100
9.000000	1.184500	0.040490	-0.063000
9.500000	1.134000	0.051400	-0.062500
10.000000	1.090000	0.061630	-0.062000
10.500000	1.097400	0.066950	-0.063000
12.000000	1.101700	0.085090	-0.065000
12.500000	1.062700	0.096680	-0.065900
13.000000	1.084100	0.100360	-0.066500
13.500000	1.107800	0.103750	-0.067200
14.000000	1.131600	0.107070	-0.067900
14.500000	1.155100	0.110410	-0.068700
15.000000	1.177100	0.113880	-0.069500
15.500000	1.194500	0.117760	-0.070400
19.500000	1.274400	0.159470	-0.084600
20.000000	1.295500	0.162900	-0.086500
20.500000	1.313800	0.166690	-0.088600
21.000000	1.303300	0.175150	-0.092400
21.500000	1.320400	0.178850	-0.094800
22.000000	1.338500	0.182080	-0.097400
22.500000	1.352400	0.186010	-0.100400
23.000000	1.336100	0.195230	-0.105500
23.500000	1.355200	0.198620	-0.108200
24.000000	1.374800	0.201920	-0.110900
24.500000	1.393900	0.205300	-0.113700
25.000000	1.411700	0.208920	-0.116600
25.500000	1.426300	0.213130	-0.119800
26.500000	1.429600	0.226910	-0.128600
27.000000	1.438700	0.232400	-0.132400
27.500000	1.421400	0.243930	-0.138700
29.000000	1.447100	0.261660	-0.150800
30.000000	1.439000	0.280240	-0.161600
30.500000	1.416200	0.295380	-0.169100
31.000000	1.424000	0.301890	-0.173400
31.500000	1.433200	0.307820	-0.177500
32.000000	1.443500	0.313400	-0.181500
32.500000	1.450200	0.320050	-0.185900
33.000000	1.433700	0.334520	-0.192700
34.000000	1.408600	0.361820	-0.205300
34.500000	1.412000	0.369720	-0.209700
35.000000	1.413100	0.378390	-0.214300
35.500000	1.391400	0.396340	-0.220800
36.000000	1.355300	0.421250	-0.227800
36.500000	1.354500	0.430610	-0.232000
37.000000	1.353300	0.439810	-0.235900
37.500000	1.350000	0.449610	-0.239800
