name: Wortmann FX 66-S-196
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 5.500000
CL_eps: 1.114500
CD_eps: 6.540000e-03
AoA_lift: 19.500000
CL_lift: 1.521200
CD_lift: 1.089800e-01
 alpha	CL	CD	Cm
-5.000000	-0.082100	0.008350	-0.095700
-4.500000	-0.025100	0.008100	-0.096400
-4.000000	0.031700	0.007810	-0.097200
-3.500000	0.088400	0.007510	-0.097900
-3.000000	0.144900	0.007200	-0.098600
-2.500000	0.201200	0.006880	-0.099400
-2.000000	0.255700	0.006380	-0.099900
-1.500000	0.305000	0.005480	-0.099500
-1.000000	0.363900	0.005530	-0.100500
-0.500000	0.423000	0.005610	-0.101500
1.000000	0.599000	0.005950	-0.104400
1.500000	0.656100	0.006000	-0.105200
2.000000	0.713500	0.006070	-0.106000
2.500000	0.771200	0.006150	-0.106900
3.000000	0.830000	0.006140	-0.107900
3.500000	0.888800	0.006130	-0.109000
4.000000	0.947400	0.006130	-0.110100
4.500000	1.004700	0.006190	-0.111000
5.000000	1.060300	0.006330	-0.111500
5.500000	1.114500	0.006540	-0.111800
7.000000	1.198600	0.010490	-0.099300
7.500000	1.194900	0.012300	-0.089700
8.000000	1.202000	0.014240	-0.083400
8.500000	1.209700	0.016720	-0.078600
9.000000	1.224500	0.019230	-0.075400
9.500000	1.242500	0.021850	-0.073100
10.000000	1.251600	0.025200	-0.070300
10.500000	1.267200	0.028140	-0.068200
11.000000	1.274300	0.031900	-0.065800
11.500000	1.284700	0.035640	-0.063900
12.000000	1.307000	0.038320	-0.062800
12.500000	1.322000	0.041730	-0.061500
13.000000	1.340800	0.044780	-0.060400
13.500000	1.359900	0.047960	-0.059500
14.000000	1.371800	0.052080	-0.058600
14.500000	1.392100	0.055240	-0.058000
15.000000	1.409100	0.058780	-0.057300
15.500000	1.415700	0.063640	-0.056800
16.000000	1.431900	0.067250	-0.056300
17.000000	1.445200	0.076990	-0.056200
17.500000	1.461800	0.080870	-0.056400
18.000000	1.475700	0.085360	-0.057100
18.500000	1.474200	0.092300	-0.058500
19.000000	1.487800	0.097840	-0.060800
19.500000	1.521200	0.108980	-0.074400
20.000000	1.516900	0.115450	-0.075300
20.500000	1.510200	0.122180	-0.076500
21.000000	1.490300	0.130920	-0.078900
21.500000	1.468200	0.139040	-0.082000
22.000000	1.445900	0.147640	-0.085500
