name: Wortmann FX 77-W-270S
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 6.500000
CL_eps: 1.147900
CD_eps: 8.630000e-03
AoA_lift: 33.500000
CL_lift: 1.364500
CD_lift: 3.132400e-01
 alpha	CL	CD	Cm
-5.000000	-0.272800	0.011460	-0.022700
-4.500000	-0.212700	0.011250	-0.023800
-4.000000	-0.151900	0.011040	-0.024800
-3.500000	-0.090600	0.010850	-0.026100
-3.000000	-0.029100	0.010680	-0.027400
-2.500000	0.034700	0.010830	-0.029400
-2.000000	0.095600	0.010570	-0.030600
-1.500000	0.157000	0.010350	-0.031900
-1.000000	0.218800	0.010180	-0.033400
-0.500000	0.280800	0.010050	-0.034900
0.000000	0.342900	0.009940	-0.036500
0.500000	0.405100	0.009880	-0.038100
1.000000	0.457700	0.007510	-0.039600
1.500000	0.520400	0.007570	-0.041300
2.000000	0.583600	0.007760	-0.043200
2.500000	0.646400	0.007960	-0.045000
3.000000	0.708900	0.008340	-0.046600
3.500000	0.771800	0.008490	-0.048500
4.000000	0.834800	0.008500	-0.050500
4.500000	0.898800	0.008390	-0.052700
5.000000	0.962200	0.008370	-0.054800
5.500000	1.024900	0.008410	-0.056700
6.000000	1.088300	0.008380	-0.058900
6.500000	1.147900	0.008630	-0.060500
7.000000	1.171200	0.011230	-0.056400
8.000000	1.073500	0.020790	-0.028400
8.500000	1.078500	0.025310	-0.027400
9.000000	1.077200	0.031870	-0.028500
9.500000	1.047800	0.040730	-0.028000
10.000000	0.998000	0.051090	-0.026300
11.000000	0.962900	0.065680	-0.025200
11.500000	0.928600	0.075630	-0.025000
12.000000	0.947500	0.079510	-0.025600
12.500000	0.969800	0.083000	-0.026200
13.000000	0.989000	0.086860	-0.026900
14.000000	0.983500	0.099940	-0.028400
14.500000	1.006300	0.103170	-0.029300
15.000000	1.029400	0.106470	-0.030300
15.500000	1.051300	0.109970	-0.031400
16.000000	1.068200	0.114150	-0.032600
16.500000	1.052100	0.122860	-0.034300
17.000000	1.074800	0.126280	-0.035700
17.500000	1.097700	0.129620	-0.037200
18.000000	1.119900	0.133020	-0.038800
33.000000	1.362200	0.305620	-0.143400
33.500000	1.364500	0.313240	-0.147800
34.000000	1.341400	0.328500	-0.153800
34.500000	1.343200	0.336200	-0.158100
35.000000	1.339100	0.345610	-0.162500
35.500000	1.312700	0.362000	-0.168000
36.000000	1.309700	0.370580	-0.171900
36.500000	1.272500	0.389260	-0.176400
37.000000	1.260900	0.398710	-0.179400
38.000000	0.914900	0.383810	-0.146600
38.500000	0.905400	0.385480	-0.148400
39.000000	0.897300	0.387210	-0.150400
39.500000	0.885200	0.389490	-0.152100
40.000000	0.857000	0.393790	-0.152900
