name: Wortmann FX 84-W-150
Re: 3.000000e+06
Ncrit: 9
AoA_eps: 5.000000
CL_eps: 1.057100
CD_eps: 5.670000e-03
AoA_lift: 18.000000
CL_lift: 1.718600
CD_lift: 6.486000e-02
 alpha	CL	CD	Cm
-5.000000	-0.096800	0.007170	-0.091600
-4.500000	-0.038600	0.006980	-0.092200
-4.000000	0.019200	0.006790	-0.092800
-3.500000	0.077600	0.006620	-0.093400
-3.000000	0.136200	0.006420	-0.094100
-2.500000	0.194200	0.006260	-0.094800
-2.000000	0.252100	0.006150	-0.095400
-1.500000	0.310800	0.005930	-0.096200
-1.000000	0.369000	0.005690	-0.097000
0.000000	0.483700	0.005080	-0.098500
0.500000	0.541800	0.004770	-0.099300
1.000000	0.599500	0.004720	-0.100000
1.500000	0.657300	0.004780	-0.100600
2.000000	0.716000	0.004780	-0.101400
2.500000	0.773800	0.004870	-0.102000
3.000000	0.830600	0.005010	-0.102500
3.500000	0.888600	0.005080	-0.103200
4.000000	0.944600	0.005290	-0.103600
4.500000	1.001800	0.005430	-0.104300
5.000000	1.057100	0.005670	-0.104600
5.500000	1.108400	0.006190	-0.104300
6.000000	1.160200	0.006640	-0.104100
6.500000	1.210200	0.007130	-0.103600
7.000000	1.253000	0.007930	-0.101900
7.500000	1.290500	0.008970	-0.099400
8.000000	1.328600	0.010110	-0.097300
8.500000	1.356200	0.011400	-0.093400
9.000000	1.378200	0.012880	-0.089000
9.500000	1.400900	0.014500	-0.085100
10.000000	1.428400	0.016020	-0.082200
10.500000	1.457400	0.017510	-0.079800
11.000000	1.484100	0.019250	-0.077300
11.500000	1.510200	0.021100	-0.075000
12.000000	1.531800	0.023310	-0.072500
13.000000	1.583800	0.027400	-0.068900
13.500000	1.606100	0.029840	-0.067100
14.000000	1.624400	0.032590	-0.065100
14.500000	1.633800	0.036400	-0.063000
15.500000	1.664700	0.043400	-0.060300
16.000000	1.677700	0.047340	-0.059300
16.500000	1.694200	0.050870	-0.058500
17.000000	1.703000	0.055270	-0.057800
17.500000	1.711000	0.060000	-0.057300
18.000000	1.718600	0.064860	-0.057000
18.500000	1.714200	0.071390	-0.057000
19.000000	1.684300	0.081330	-0.057300
19.500000	1.681800	0.087770	-0.058000
20.000000	1.672600	0.095100	-0.059200
20.500000	1.662200	0.103020	-0.061000
21.000000	1.661200	0.109600	-0.062800
21.500000	1.649500	0.118040	-0.065500
22.000000	1.636600	0.126710	-0.068800
22.500000	1.633100	0.133800	-0.071800
23.000000	1.619400	0.142690	-0.076000
23.500000	1.605900	0.151620	-0.080700
24.000000	1.602400	0.158390	-0.084800
24.500000	1.589400	0.166500	-0.090400
25.000000	1.575000	0.175640	-0.096600
25.500000	1.570700	0.183220	-0.101700
26.000000	1.554300	0.193820	-0.108600
26.500000	1.536100	0.205420	-0.116000
27.500000	1.509700	0.227800	-0.130100
28.000000	1.489400	0.241710	-0.138300
28.500000	1.466200	0.257250	-0.147000
29.000000	1.440800	0.274380	-0.155900
30.000000	1.402500	0.306570	-0.171600
30.500000	1.370100	0.328750	-0.180600
31.000000	1.329000	0.355160	-0.189500
31.500000	1.260800	0.390260	-0.196900
