name: du84132v
Re: 1.000000e+06
Ncrit: 9
AoA_eps: 3.000000
CL_eps: 0.751800
CD_eps: 9.380000e-03
AoA_lift: 15.000000
CL_lift: 1.416000
CD_lift: 4.052000e-02
 alpha	CL	CD	Cm
0.000000	1.000000	2.000000	3.000000
4.000000	5.000000	6.000000	7.000000
8.000000	9.000000	10.000000	11.000000
12.000000	13.000000	14.000000	15.000000
16.000000	17.000000	0.452600	0.549300
0.650000	0.751800	0.837000	0.923200
0.997600	1.062900	1.136600	1.201600
1.256200	1.298600	1.341400	1.377100
1.403000	1.416000	1.413300	1.392700
0.009130	0.009460	0.008810	0.009380
0.010810	0.011940	0.012870	0.014340
0.015290	0.016670	0.018610	0.021330
0.024290	0.028160	0.033360	0.040520
0.050500	0.064590	-0.102100	-0.099900
-0.099000	-0.097100	-0.092200	-0.087400
-0.080100	-0.072000	-0.065700	-0.058500
-0.050400	-0.041700	-0.034200	-0.027200
-0.021200	-0.016600	-0.014100	-0.015300
