name: fx66s196
Re: 1.000000e+06
Ncrit: 9
AoA_eps: 8.500000
CL_eps: 1.375700
CD_eps: 1.001000e-02
AoA_lift: 9.250000
CL_lift: 1.402200
CD_lift: 1.109000e-02
 alpha	CL	CD	Cm
-17.750000	-0.646900	0.106330	-0.061900
-17.500000	-0.709600	0.090530	-0.070500
-17.250000	-0.704500	0.086530	-0.073700
-17.000000	-0.705500	0.077930	-0.082900
-16.750000	-0.707100	0.067880	-0.095500
-16.500000	-0.683700	0.059620	-0.110300
-16.250000	-0.670000	0.055200	-0.116900
-16.000000	-0.671100	0.052260	-0.118200
-15.750000	-0.678100	0.048960	-0.119000
-15.500000	-0.674200	0.046900	-0.119600
-15.250000	-0.673600	0.044580	-0.120000
-15.000000	-0.676500	0.041990	-0.120200
-14.750000	-0.673100	0.040110	-0.120300
-14.500000	-0.665700	0.038660	-0.120400
-14.250000	-0.661000	0.036990	-0.120400
-14.000000	-0.659900	0.035090	-0.120000
-13.750000	-0.661200	0.032970	-0.119100
-13.500000	-0.658300	0.031340	-0.118400
-13.250000	-0.653700	0.029810	-0.117600
-13.000000	-0.642400	0.028850	-0.117300
-12.750000	-0.633300	0.027740	-0.116700
-12.500000	-0.624000	0.026600	-0.116000
-12.250000	-0.613700	0.025600	-0.115300
-12.000000	-0.602600	0.024650	-0.114500
-11.750000	-0.590800	0.023740	-0.113800
-11.500000	-0.578500	0.022910	-0.113000
-11.250000	-0.568100	0.021960	-0.111900
-11.000000	-0.555200	0.021170	-0.111000
-10.750000	-0.542600	0.020420	-0.110000
-10.500000	-0.537400	0.019290	-0.108200
-10.250000	-0.532000	0.018190	-0.106400
-10.000000	-0.527200	0.017250	-0.104300
-9.750000	-0.523200	0.016630	-0.101500
-9.500000	-0.509300	0.016200	-0.100000
-9.250000	-0.492000	0.015760	-0.098900
-9.000000	-0.473700	0.015300	-0.098000
-8.750000	-0.453800	0.014890	-0.097200
-8.500000	-0.433500	0.014490	-0.096500
-8.250000	-0.412400	0.014120	-0.095800
-8.000000	-0.393000	0.013580	-0.095000
-7.750000	-0.369600	0.013240	-0.094700
-7.500000	-0.345400	0.012930	-0.094500
-7.250000	-0.320700	0.012660	-0.094300
-7.000000	-0.297600	0.012260	-0.093900
-6.750000	-0.272900	0.012010	-0.093700
-6.500000	-0.248000	0.011660	-0.093600
-6.250000	-0.222400	0.011350	-0.093600
-6.000000	-0.196800	0.011060	-0.093600
-5.750000	-0.170700	0.010810	-0.093600
-5.500000	-0.145100	0.010510	-0.093700
-5.250000	-0.119500	0.010230	-0.093700
-4.750000	-0.068700	0.009460	-0.093800
-4.500000	-0.044400	0.008900	-0.093800
-4.250000	-0.021900	0.008130	-0.093600
-4.000000	0.001800	0.007610	-0.093300
-3.750000	0.031100	0.007680	-0.093700
-3.500000	0.060100	0.007740	-0.094100
-3.250000	0.088800	0.007780	-0.094400
-3.000000	0.117900	0.007880	-0.094700
-2.750000	0.146400	0.007930	-0.095000
-2.500000	0.175600	0.007970	-0.095400
-2.250000	0.204900	0.008050	-0.095800
-2.000000	0.233600	0.008040	-0.096100
-1.750000	0.262700	0.008080	-0.096500
-1.500000	0.291800	0.008110	-0.096900
-1.250000	0.320800	0.008190	-0.097300
-1.000000	0.349500	0.008230	-0.097600
-0.750000	0.378400	0.008280	-0.098000
-0.500000	0.407200	0.008330	-0.098300
-0.250000	0.436100	0.008380	-0.098700
0.000000	0.464900	0.008450	-0.099100
0.250000	0.493800	0.008550	-0.099600
0.500000	0.522700	0.008590	-0.100000
0.750000	0.551500	0.008620	-0.100400
1.000000	0.580300	0.008650	-0.100800
1.250000	0.609100	0.008670	-0.101200
1.500000	0.637800	0.008700	-0.101600
1.750000	0.666300	0.008720	-0.102000
2.000000	0.694800	0.008730	-0.102400
2.250000	0.723300	0.008750	-0.102700
2.500000	0.751700	0.008780	-0.103100
2.750000	0.780000	0.008810	-0.103500
3.000000	0.808300	0.008860	-0.103800
3.250000	0.836500	0.008930	-0.104100
3.500000	0.865100	0.009070	-0.104600
3.750000	0.892900	0.009090	-0.104800
4.000000	0.920600	0.009120	-0.105100
4.250000	0.948300	0.009150	-0.105300
4.500000	0.976000	0.009190	-0.105600
4.750000	1.003600	0.009230	-0.105800
5.000000	1.031000	0.009270	-0.106000
5.250000	1.058200	0.009310	-0.106100
5.500000	1.085500	0.009400	-0.106300
5.750000	1.113400	0.009550	-0.106700
6.000000	1.139400	0.009560	-0.106600
6.250000	1.165200	0.009570	-0.106500
6.500000	1.190900	0.009580	-0.106300
6.750000	1.215600	0.009600	-0.106000
7.000000	1.240500	0.009680	-0.105700
7.250000	1.264700	0.009670	-0.105300
7.500000	1.288500	0.009690	-0.104800
7.750000	1.310500	0.009750	-0.104000
8.000000	1.334200	0.009790	-0.103500
8.250000	1.355600	0.009900	-0.102600
8.500000	1.375700	0.010010	-0.101400
8.750000	1.388600	0.010200	-0.098800
9.000000	1.399200	0.010510	-0.095900
9.250000	1.402200	0.011090	-0.091800
9.500000	1.388800	0.012270	-0.085200
9.750000	1.371900	0.013840	-0.079000
10.000000	1.353700	0.015890	-0.073500
10.250000	1.341700	0.018050	-0.069600
10.500000	1.324500	0.020910	-0.065900
10.750000	1.308100	0.024060	-0.063000
11.000000	1.302400	0.026650	-0.061300
11.250000	1.291100	0.029800	-0.059400
11.500000	1.282800	0.032860	-0.058000
11.750000	1.275100	0.036050	-0.056900
12.000000	1.269200	0.039240	-0.056200
12.250000	1.266800	0.042320	-0.055900
12.500000	1.267500	0.045310	-0.056100
12.750000	1.272600	0.048300	-0.057100
13.000000	1.288400	0.051100	-0.059700
13.250000	1.316500	0.055180	-0.066600
13.500000	1.348100	0.059050	-0.073200
13.750000	1.354500	0.061220	-0.072900
14.000000	1.357200	0.063760	-0.072500
14.250000	1.365000	0.065780	-0.072200
14.500000	1.370500	0.068080	-0.071900
14.750000	1.373600	0.070650	-0.071600
15.000000	1.379700	0.072900	-0.071400
15.250000	1.384700	0.075320	-0.071200
15.500000	1.390900	0.077570	-0.071000
15.750000	1.395200	0.080040	-0.070900
16.000000	1.399300	0.082610	-0.070800
16.250000	1.395800	0.086070	-0.070500
