name: fx77w270s
Re: 1.000000e+06
Ncrit: 9
AoA_eps: 11.250000
CL_eps: 1.602300
CD_eps: 1.575000e-02
AoA_lift: 15.000000
CL_lift: 1.826600
CD_lift: 2.568000e-02
 alpha	CL	CD	Cm
-19.750000	-1.118200	0.082970	-0.043300
-19.500000	-1.123700	0.080160	-0.043200
-19.250000	-1.124300	0.076770	-0.044500
-18.750000	-1.121200	0.070690	-0.046300
-18.500000	-1.119100	0.067790	-0.047000
-18.250000	-1.115200	0.065170	-0.047500
-18.000000	-1.110400	0.062680	-0.047900
-17.750000	-1.105100	0.060280	-0.048300
-17.500000	-1.098400	0.058090	-0.048500
-17.250000	-1.091600	0.055950	-0.048600
-17.000000	-1.083500	0.053990	-0.048600
-16.750000	-1.074900	0.052120	-0.048600
-16.500000	-1.066100	0.050270	-0.048600
-16.250000	-1.055700	0.048630	-0.048400
-16.000000	-1.045500	0.046970	-0.048300
-15.750000	-1.034800	0.045420	-0.048000
-15.500000	-1.022800	0.044020	-0.047800
-15.250000	-1.010900	0.042610	-0.047500
-15.000000	-0.999100	0.041230	-0.047200
-14.750000	-0.986100	0.039980	-0.046800
-14.500000	-0.972900	0.038780	-0.046400
-14.250000	-0.960100	0.037580	-0.045900
-14.000000	-0.947000	0.036420	-0.045400
-13.750000	-0.932800	0.035370	-0.044900
-13.500000	-0.918400	0.034350	-0.044400
-13.250000	-0.904300	0.033310	-0.043800
-13.000000	-0.889400	0.032350	-0.043300
-12.750000	-0.873600	0.031440	-0.042800
-12.500000	-0.857900	0.030540	-0.042300
-12.250000	-0.842100	0.029650	-0.041700
-12.000000	-0.825500	0.028830	-0.041200
-11.750000	-0.808800	0.028000	-0.040700
-11.500000	-0.792300	0.027140	-0.040200
-11.250000	-0.775200	0.026320	-0.039700
-11.000000	-0.758300	0.025490	-0.039100
-10.750000	-0.741800	0.024640	-0.038600
-10.500000	-0.724900	0.023810	-0.038000
-10.250000	-0.709000	0.022910	-0.037400
-10.000000	-0.690300	0.022180	-0.037000
-9.750000	-0.670700	0.021520	-0.036600
-9.500000	-0.651100	0.020850	-0.036300
-9.250000	-0.632100	0.020160	-0.035900
-9.000000	-0.612800	0.019530	-0.035400
-8.750000	-0.593700	0.018960	-0.034800
-8.500000	-0.574700	0.018440	-0.034000
-8.250000	-0.557100	0.017920	-0.032900
-8.000000	-0.542300	0.017500	-0.031200
-7.750000	-0.532100	0.017200	-0.028400
-7.500000	-0.513400	0.016940	-0.027000
-7.250000	-0.492700	0.016680	-0.026100
-7.000000	-0.470500	0.016480	-0.025300
-6.750000	-0.447200	0.016330	-0.024700
-6.500000	-0.423700	0.016120	-0.024200
-6.250000	-0.398900	0.015890	-0.023800
-6.000000	-0.374000	0.015640	-0.023500
-5.750000	-0.348600	0.015390	-0.023200
-5.500000	-0.323200	0.015130	-0.023000
-5.250000	-0.298200	0.014820	-0.022700
-5.000000	-0.273000	0.014500	-0.022500
-4.750000	-0.246700	0.014240	-0.022500
