name: NACA 2410
Re: 1.000000e+05
Ncrit: 9
AoA_eps: 6.000000
CL_eps: 0.879500
CD_eps: 1.696000e-02
AoA_lift: 11.000000
CL_lift: 1.176700
CD_lift: 5.902000e-02
 alpha	CL	CD	Cm
0.000000	0.178500	0.015730	-0.051500
1.000000	0.352700	0.015460	-0.063200
2.000000	0.487100	0.014880	-0.064900
3.000000	0.596100	0.014780	-0.061300
4.000000	0.695800	0.015310	-0.056700
5.000000	0.791800	0.016000	-0.051400
6.000000	0.879500	0.016960	-0.045200
7.000000	0.938600	0.020600	-0.036200
8.000000	1.004400	0.026970	-0.029300
9.000000	1.094000	0.034310	-0.026200
10.000000	1.165900	0.044200	-0.021200
11.000000	1.176700	0.059020	-0.012300
12.000000	1.112500	0.074500	-0.002500
13.000000	0.726300	0.120500	-0.018100
14.000000	0.859400	0.169480	-0.053800
15.000000	0.870000	0.187590	-0.061000
16.000000	0.894400	0.204760	-0.066800
17.000000	0.919300	0.221250	-0.073600
18.000000	0.918400	0.231030	-0.089500
19.000000	0.944400	0.245590	-0.099100
20.000000	0.990100	0.265270	-0.101500
