name: naca63209
Re: 1.000000e+05
Ncrit: 9
AoA_eps: 4.000000
CL_eps: 0.590000
CD_eps: 1.354000e-02
AoA_lift: 20.000000
CL_lift: 0.818800
CD_lift: 2.527100e-01
 alpha	CL	CD	Cm
0.000000	1.000000	2.000000	3.000000
4.000000	5.000000	6.000000	12.000000
13.000000	14.000000	15.000000	16.000000
17.000000	18.000000	19.000000	20.000000
0.109400	0.308800	0.401700	0.495200
0.590000	0.633000	0.734000	0.648900
0.684500	0.673300	0.695800	0.745600
0.765400	0.771700	0.792800	0.818800
0.018130	0.017440	0.016880	0.016660
0.013540	0.020060	0.027080	0.133060
0.155620	0.166740	0.181670	0.210330
0.224410	0.229670	0.240300	0.252710
-0.031500	-0.052500	-0.052300	-0.048700
-0.036200	-0.022400	-0.019300	-0.022700
-0.026800	-0.038600	-0.045600	-0.049600
-0.057500	-0.066300	-0.073800	-0.080300
