name: nlf0115
Re: 1.000000e+06
Ncrit: 9
AoA_eps: 4.000000
CL_eps: 0.698700
CD_eps: 7.490000e-03
AoA_lift: 14.000000
CL_lift: 1.371200
CD_lift: 2.703000e-02
 alpha	CL	CD	Cm
0.000000	1.000000	2.000000	3.000000
4.000000	5.000000	6.000000	7.000000
8.000000	9.000000	10.000000	11.000000
12.000000	13.000000	14.000000	20.000000
0.266600	0.377900	0.490500	0.599900
0.698700	0.767300	0.849500	0.928000
1.004800	1.085100	1.151700	1.221400
1.275400	1.318600	1.371200	1.201100
0.006370	0.006810	0.006830	0.006990
0.007490	0.009600	0.010860	0.011760
0.012860	0.013850	0.015480	0.017110
0.019580	0.022720	0.027030	0.122930
-0.052800	-0.052500	-0.053100	-0.053100
-0.051100	-0.044000	-0.039500	-0.034300
-0.029100	-0.024800	-0.018900	-0.014200
-0.008200	-0.001800	-0.000100	-0.019000
