#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.84656  0.003246  0.001634  0.001022     1.987
   0.02377  0.97722  0.00680  0.94344  0.001756  0.001059  0.002502     1.658
   0.04741  0.95444  0.01310  0.96974  0.001680  0.000928  0.002092     1.811
   0.07099  0.93166  0.01920  1.00463  0.001673  0.000787  0.001367     2.126
   0.09443  0.90888  0.02470  1.03204  0.002227  0.000687  0.000180     3.242
   0.11783  0.88610  0.03007  1.04804  0.002364  0.000630  0.000025     3.751
   0.14117  0.86333  0.03520  1.05234  0.002354  0.000615  0.000007     3.825
   0.16447  0.84055  0.04009  1.05677  0.002447  0.000600 -0.000047     4.075
   0.18782  0.81777  0.04520  1.06309  0.001951  0.000580  0.000176     3.365
   0.21110  0.79499  0.05000  1.06926  0.001785  0.000560  0.000283     3.186
   0.23435  0.77221  0.05467  1.08333  0.001384  0.000520  0.000809     2.660
   0.25745  0.74943  0.05850  1.07442  0.001865  0.000538  0.000137     3.465
   0.28064  0.72665  0.06287  1.09147  0.001304  0.000493  0.000875     2.647
   0.30371  0.70387  0.06651  1.08354  0.001618  0.000505  0.000301     3.204
   0.32684  0.68109  0.07050  1.10237  0.001167  0.000458  0.001104     2.548
   0.34986  0.65831  0.07380  1.09259  0.001386  0.000470  0.000549     2.949
   0.37290  0.63554  0.07730  1.11005  0.001062  0.000428  0.001310     2.482
   0.39586  0.61276  0.08018  1.09873  0.001235  0.000439  0.000751     2.813
   0.41884  0.58998  0.08320  1.11432  0.000980  0.000402  0.001486     2.441
   0.44175  0.56720  0.08565  1.10440  0.001066  0.000406  0.001104     2.627
   0.46465  0.54442  0.08800  1.10567  0.001035  0.000393  0.001131     2.632
   0.48754  0.52164  0.09021  1.11037  0.000947  0.000374  0.001392     2.531
   0.51039  0.49886  0.09203  1.10278  0.001053  0.000376  0.000894     2.804
   0.53324  0.47608  0.09390  1.10948  0.000979  0.000356  0.001038     2.751
   0.55609  0.45330  0.09567  1.12932  0.000722  0.000314  0.002348     2.299
   0.57889  0.43052  0.09658  1.10681  0.000830  0.000325  0.001544     2.554
   0.60169  0.40774  0.09740  1.11730  0.000658  0.000293  0.002680     2.246
   0.62446  0.38497  0.09749  1.08937  0.000754  0.000305  0.001826     2.472
   0.64724  0.36219  0.09749  1.08291  0.000755  0.000296  0.001672     2.548
   0.67002  0.33941  0.09740  1.08450  0.000671  0.000276  0.002131     2.432
   0.69280  0.31663  0.09690  1.07780  0.000610  0.000261  0.002543     2.343
   0.71560  0.29385  0.09590  1.05785  0.000658  0.000260  0.001905     2.533
   0.73841  0.27107  0.09476  1.05956  0.000530  0.000233  0.003076     2.273
   0.76127  0.24829  0.09294  1.02831  0.000638  0.000240  0.001656     2.656
   0.78412  0.22551  0.09112  1.03510  0.000515  0.000211  0.002618     2.443
   0.80704  0.20273  0.08860  1.01955  0.000445  0.000192  0.003365     2.321
   0.83007  0.17995  0.08520  0.98813  0.000462  0.000184  0.002588     2.514
   0.85321  0.15718  0.08109  0.96437  0.000329  0.000156  0.005184     2.115
   0.87663  0.13440  0.07563  0.87999  0.000464  0.000174  0.001937     2.661
   0.90006  0.11162  0.07016  0.86996  0.000306  0.000135  0.004420     2.263
   0.92398  0.08884  0.06287  0.76173  0.000289  0.000132  0.004326     2.201
   0.94819  0.06606  0.05467  0.67497  0.000295  0.000116  0.002672     2.547
   0.97308  0.04328  0.04465  0.52883  0.000170  0.000079  0.005415     2.144
   0.98370  0.03417  0.03918  0.38307  0.000208  0.000091  0.002825     2.285
   0.99433  0.02506  0.03371  0.27599  0.000169  0.000074  0.002553     2.275
   1.00600  0.01595  0.02642  0.04756  0.000113  0.000051  0.000748     2.230
   1.01889  0.00683  0.01731 -0.37620  0.000113  0.000051  0.005195     2.230
   1.02748  0.00228  0.01002 -0.82581  0.000082  0.000038  0.016786     2.173
   1.03776  0.00000  0.00000 -2.04984  0.000052  0.000024  0.064574     2.191
   1.04368  0.00228 -0.00547 -1.99365  0.000191  0.000047 -0.001304     4.103
   1.05152  0.00683 -0.01185 -2.45968  0.000060  0.000027  0.066915     2.184
   1.06185  0.01595 -0.01670 -2.36768  0.000078  0.000035  0.060206     2.258
   1.07155  0.02506 -0.02005 -2.34416  0.000078  0.000037  0.055448     2.128
   1.08106  0.03417 -0.02278 -2.34811  0.000087  0.000039  0.051733     2.222
   1.09032  0.04328 -0.02440 -2.30383  0.000093  0.000043  0.048754     2.187
   1.11352  0.06606 -0.02880 -2.30161  0.000103  0.000047  0.043083     2.181
   1.13651  0.08884 -0.03189 -2.28389  0.000116  0.000053  0.039053     2.200
   1.15945  0.11162 -0.03462 -2.28463  0.000124  0.000057  0.035981     2.177
   1.18228  0.13440 -0.03620 -2.27249  0.000136  0.000062  0.033547     2.202
   1.20509  0.15718 -0.03736 -2.26466  0.000142  0.000065  0.031550     2.181
   1.22789  0.17995 -0.03840 -2.26169  0.000151  0.000069  0.029873     2.193
   1.25068  0.20273 -0.03918 -2.26027  0.000158  0.000072  0.028438     2.186
   1.27346  0.22551 -0.03940 -2.25250  0.000167  0.000076  0.027192     2.195
   1.29624  0.24829 -0.03960 -2.25058  0.000173  0.000079  0.026097     2.184
   1.31902  0.27107 -0.03960 -2.24713  0.000180  0.000082  0.025124     2.193
   1.34180  0.29385 -0.03950 -2.24469  0.000186  0.000085  0.024253     2.188
   1.36458  0.31663 -0.03930 -2.24337  0.000193  0.000088  0.023466     2.189
   1.38737  0.33941 -0.03890 -2.24141  0.000199  0.000091  0.022751     2.190
   1.41016  0.36219 -0.03827 -2.23946  0.000205  0.000094  0.022098     2.190
   1.43295  0.38497 -0.03736 -2.23502  0.000211  0.000096  0.021498     2.192
   1.45574  0.40774 -0.03645 -2.23273  0.000216  0.000099  0.020944     2.188
   1.47854  0.43052 -0.03554 -2.23105  0.000222  0.000101  0.020431     2.189
   1.50134  0.45330 -0.03462 -2.22942  0.000227  0.000104  0.019953     2.189
   1.52414  0.47608 -0.03371 -2.23014  0.000232  0.000106  0.019508     2.187
   1.54695  0.49886 -0.03250 -2.22738  0.000238  0.000109  0.019091     2.193
   1.56977  0.52164 -0.03120 -2.22452  0.000243  0.000111  0.018700     2.190
   1.59258  0.54442 -0.03000 -2.22649  0.000246  0.000113  0.018331     2.184
   1.61541  0.56720 -0.02840 -2.22204  0.000254  0.000116  0.017984     2.196
   1.63824  0.58998 -0.02690 -2.22311  0.000256  0.000117  0.017655     2.184
   1.66109  0.61276 -0.02510 -2.22232  0.000262  0.000120  0.017344     2.190
   1.68398  0.63554 -0.02290 -2.21895  0.000267  0.000122  0.017048     2.193
   1.70688  0.65831 -0.02050 -2.21864  0.000271  0.000124  0.016766     2.187
   1.72985  0.68109 -0.01750 -2.21234  0.000278  0.000126  0.016498     2.198
   1.75284  0.70387 -0.01440 -2.20985  0.000281  0.000128  0.016241     2.189
   1.77589  0.72665 -0.01093 -2.20436  0.000287  0.000131  0.015996     2.195
   1.79895  0.74943 -0.00729 -2.19851  0.000292  0.000133  0.015761     2.194
   1.82203  0.77221 -0.00364 -2.19324  0.000297  0.000135  0.015536     2.192
   1.84509  0.79499  0.00000 -2.18397  0.000303  0.000138  0.015320     2.199
   1.86804  0.81777  0.00273 -2.18024  0.000305  0.000140  0.015115     2.187
   1.89089  0.84055  0.00456 -2.17812  0.000309  0.000141  0.014918     2.186
   1.91369  0.86333  0.00547 -2.17739  0.000312  0.000143  0.014729     2.184
   1.93646  0.88610  0.00547 -2.18174  0.000313  0.000144  0.014547     2.176
   1.95924  0.90888  0.00547 -2.17874  0.000320  0.000146  0.014372     2.192
   1.98203  0.93166  0.00480 -2.17976  0.000322  0.000147  0.014203     2.184
   2.00484  0.95444  0.00364 -2.17929  0.000326  0.000149  0.014040     2.188
   2.02769  0.97722  0.00180 -2.18365  0.000327  0.000150  0.013882     2.179
   2.05054  1.00000  0.00000 -2.17678  0.000337  0.000153  0.013729     2.202
   2.05054  1.00010 -0.00002  0.84659  0.003582  0.001786  0.000000     2.005
   2.07386  1.02306 -0.00403  0.89093  0.002136  0.001477  0.000000     1.446
   2.10142  1.05032 -0.00813  0.91392  0.001701  0.001356  0.000000     1.254
   2.13401  1.08259 -0.01265  0.93106  0.001475  0.001278  0.000000     1.154
   2.17253  1.12078 -0.01775  0.94403  0.001344  0.001224  0.000000     1.098
   2.21809  1.16596 -0.02357  0.95428  0.001261  0.001184  0.000000     1.065
   2.27195  1.21940 -0.03029  0.96261  0.001205  0.001153  0.000000     1.046
   2.33563  1.28260 -0.03811  0.96949  0.001166  0.001128  0.000000     1.033
   2.41092  1.35733 -0.04726  0.97522  0.001137  0.001108  0.000000     1.026
   2.49993  1.44569 -0.05803  0.98000  0.001114  0.001092  0.000000     1.021
   2.60518  1.55017 -0.07077  0.98397  0.001097  0.001079  0.000000     1.017
   2.72962  1.67368 -0.08586  0.98726  0.001084  0.001068  0.000000     1.015
   2.87674  1.81971 -0.10381  0.98994  0.001073  0.001059  0.000000     1.013
   3.05068  1.99233 -0.12519  0.99230  0.001064  0.001051  0.000000     1.012
