#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.03244  0.075294  0.012128 -0.000006     6.208
   0.00633  0.99375  0.00226  1.03340  0.074166  0.012037 -0.000006     6.161
   0.01737  0.98284  0.00398  1.03506  0.072148  0.011881 -0.000006     6.073
   0.03025  0.97011  0.00597  1.03701  0.069767  0.011703 -0.000006     5.962
   0.04469  0.95585  0.00815  1.03921  0.067083  0.011509 -0.000006     5.829
   0.06020  0.94051  0.01047  1.04160  0.064206  0.011306 -0.000006     5.679
   0.07634  0.92454  0.01283  1.04410  0.061232  0.011101 -0.000007     5.516
   0.09283  0.90822  0.01520  1.04668  0.058216  0.010900 -0.000007     5.341
   0.10949  0.89173  0.01755  1.04931  0.055208  0.010703 -0.000007     5.158
   0.12624  0.87514  0.01987  1.05198  0.052229  0.010514 -0.000007     4.968
   0.14303  0.85851  0.02215  1.05466  0.049291  0.010331 -0.000007     4.771
   0.15984  0.84185  0.02439  1.05734  0.046405  0.010158 -0.000006     4.568
   0.17666  0.82517  0.02659  1.06001  0.043572  0.009994 -0.000005     4.360
   0.19349  0.80848  0.02875  1.06262  0.040812  0.009841 -0.000004     4.147
   0.21032  0.79179  0.03087  1.06512  0.038122  0.009702 -0.000001     3.929
   0.22715  0.77508  0.03294  1.06740  0.035507  0.009583  0.000002     3.705
   0.24398  0.75837  0.03498  1.06927  0.032991  0.009489  0.000007     3.477
   0.26081  0.74166  0.03697  1.07058  0.030584  0.009427  0.000014     3.244
   0.27764  0.72495  0.03891  1.07298  0.028279  0.009319  0.000083     3.035
   0.29446  0.70823  0.04082  1.07852  0.026068  0.009083  0.000153     2.870
   0.31128  0.69152  0.04268  1.08539  0.024000  0.008809  0.000228     2.724
   0.32809  0.67481  0.04449  1.09356  0.022076  0.008505  0.000311     2.596
   0.34489  0.65810  0.04626  1.10296  0.020297  0.008179  0.000403     2.482
   0.36168  0.64140  0.04798  1.11345  0.018672  0.007840  0.000504     2.382
