#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00021  0.15657**********  0.017622 -0.000005**********
   0.05031  0.95027  0.00785  0.15657**********  0.009944 -0.000005193613.391
   0.10065  0.90052  0.01551  0.15657**********  0.013396 -0.000005 85867.586
   0.15099  0.85074  0.02301  0.15657862.569824  0.009932 -0.000005 86847.367
   0.20151  0.80076  0.03037  0.15657645.669678  0.011303 -0.000005 57124.355
   0.25208  0.75063  0.03702  0.15657481.902740  0.008089 -0.000005 59573.441
   0.30254  0.70054  0.04310  0.15657347.528595  0.008469 -0.000005 41036.465
   0.35295  0.65042  0.04852  0.15657244.817200  0.006186 -0.000005 39573.555
   0.40331  0.60028  0.05323  0.15657168.904800  0.006508 -0.000005 25953.385
   0.45362  0.55012  0.05714  0.15657110.333611  0.004387 -0.000005 25151.900
   0.50389  0.49994  0.06014  0.15657 68.868217  0.004581 -0.000005 15033.282
   0.55412  0.44975  0.06208  0.15658 38.623890  0.002779 -0.000005 13900.078
   0.60432  0.39955  0.06274  0.15658 19.893221  0.002867 -0.000005  6939.840
   0.65453  0.34935  0.06192  0.15659  8.290275  0.001488 -0.000005  5570.761
   0.70475  0.29917  0.05984  0.15656  3.404525  0.003020 -0.000005  1127.493
   0.75503  0.24900  0.05656  0.15645  2.490737  0.005238 -0.000005   475.507
   0.80539  0.19885  0.05200  0.15656  1.797451  0.003780 -0.000005   475.508
   0.85587  0.14874  0.04592  0.15643  0.940003  0.004992 -0.000005   188.291
   0.90656  0.09868  0.03792  0.15609  0.422791  0.006586 -0.000005    64.191
   0.93205  0.07369  0.03288  0.15634  0.287652  0.006025 -0.000005    47.742
   0.95772  0.04874  0.02685  0.15894  0.154199  0.000796 -0.000006   193.780
   0.98382  0.02387  0.01895  0.15937  0.077012  0.000555 -0.000159   138.700
   0.99734  0.01153  0.01342  0.15982  0.041183  0.000438 -0.000202    94.063
   1.00306  0.00665  0.01044  0.16025  0.026836  0.000370 -0.000240    72.539
   1.00611  0.00424  0.00856  0.16047  0.017714  0.000353 -0.000253    50.243
   1.01567  0.00000  0.00000  0.15954  0.000564  0.000252  0.004508     2.234
   1.02507  0.00576 -0.00744  0.04266  0.000620  0.000280  0.001114     2.216
   1.02803  0.00835 -0.00886  0.01247  0.000688  0.000309  0.000290     2.230
   1.03358  0.01347 -0.01100 -0.03695  0.000688  0.000309  0.000859     2.230
   1.04678  0.02613 -0.01473 -0.09839  0.001111  0.000476  0.001285     2.335
   1.07238  0.05126 -0.01963 -0.14861  0.001516  0.000673  0.001536     2.253
   1.09768  0.07631 -0.02316 -0.16765  0.002195  0.000895  0.000985     2.453
   1.12285  0.10132 -0.02600 -0.17340  0.002769  0.001129  0.000809     2.451
   1.17297  0.15126 -0.03030 -0.16275  0.006898  0.001876  0.000021     3.677
   1.22296  0.20115 -0.03340 -0.15927  0.021366  0.002227 -0.000043     9.594
   1.27285  0.25100 -0.03554 -0.15917  0.050078  0.002211 -0.000041    22.646
   1.32270  0.30083 -0.03688 -0.15943  0.090426  0.002044 -0.000043    44.244
   1.37253  0.35065 -0.03744 -0.15967  0.143151  0.001819 -0.000049    78.683
   1.42233  0.40045 -0.03716 -0.15975  0.200070  0.001677 -0.000053   119.272
   1.47214  0.45025 -0.03580 -0.15973  0.288712  0.001652 -0.000006   174.741
   1.52201  0.50006 -0.03354 -0.15826  0.965670  0.007092 -0.000006   136.158
   1.57191  0.54988 -0.03062 -0.15740  0.811538  0.012427 -0.000005    65.304
   1.62187  0.59972 -0.02719 -0.15692  0.860423  0.015082 -0.000005    57.050
   1.67187  0.64958 -0.02342 -0.15681  1.069983  0.015755 -0.000005    67.916
   1.72191  0.69946 -0.01944 -0.15672  1.274279  0.016448 -0.000005    77.473
   1.77198  0.74937 -0.01542 -0.15664  1.476213  0.017175 -0.000005    85.951
   1.82199  0.79924 -0.01167 -0.15657  1.683285  0.017876 -0.000005    94.163
   1.87211  0.84926 -0.00859 -0.15650  1.894416  0.018597 -0.000005   101.869
   1.92241  0.89948 -0.00571 -0.15645  2.108684  0.019365 -0.000004   108.889
   1.97275  0.94974 -0.00295 -0.15639  2.323052  0.020214 -0.000004   114.924
   2.02308  1.00000 -0.00021 -0.15634  2.563018  0.020867 -0.000004   122.826
   2.02308  1.00010 -0.00000  0.15416**********  0.038489  0.000000**********
   2.07340  1.05041 -0.00101  0.15416**********  0.058891  0.000000**********
   2.14084  1.11778  0.00191  0.15416********************  0.000000    11.908
   2.23119  1.20782  0.00950  0.15471**********705.341187  0.000000  1453.371
   2.35226  1.32802  0.02395  0.15432********************  0.000000   113.610
   2.51448  1.48837  0.04852  0.15432**********  0.261852  0.000000**********
   2.73185  1.70215  0.08784  0.15432********************  0.000000     8.424
   3.02311  1.98706  0.14835  0.15432**********343.603333  0.000000**********
