  
       XFOIL         Version 6.99
  
 Calculated polar for: naca64a210                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1020   0.01685   0.00971  -0.0364   0.9506   1.0000
   1.000   0.2250   0.01743   0.01013  -0.0427   0.9118   1.0000
   2.000   0.3521   0.01869   0.01142  -0.0486   0.8745   1.0000
   3.000   0.4851   0.01960   0.01265  -0.0536   0.8374   1.0000
   4.000   0.6280   0.01551   0.00900  -0.0494   0.7447   1.0000
   5.000   0.6556   0.01990   0.00977  -0.0286   0.0744   1.0000
   6.000   0.7455   0.02581   0.01594  -0.0238   0.0588   1.0000
   7.000   0.8324   0.03697   0.02871  -0.0184   0.0369   1.0000
   8.000   0.8834   0.05035   0.04353  -0.0113   0.0370   1.0000
   9.000   0.8660   0.07757   0.07203  -0.0051   0.0723   1.0000
  10.000  -0.0190   0.00000  -0.00091   0.0063   0.1930   0.6972
  11.000  -0.0098   0.00000  -0.00087   0.0063   0.1486   0.6966
  12.000  -0.0142   0.00000  -0.00082   0.0056   0.1466   0.6970
  13.000  -0.0119   0.00000  -0.00075   0.0044   0.1267   0.6937
  14.000  -0.0076   0.00000  -0.00060   0.0036   0.0995   0.6473
  15.000  -0.0063   0.00000  -0.00045   0.0019   0.0845   0.5976
  16.000  -0.0017   0.00000  -0.00022   0.0006   0.0597   0.4978
